id,K_D_gmax,KV3_1_gmax,KV2_FAST_gmax,KV1_4_gmax,KV4_2_gmax,K_M_gmax,SK_gmax,NA_T_AX_gmax,NA_T_SD_gmax,NA_P_gmax,CA_LVA_gmax,CA_HVA_gmax,IH_gmax,n_spikes,spike_freq,isi_skewness,cma_n_bursts,cma_burst
0,0.0151536,0.398494,0.0360907,0.105745,0.05299,0.00446098,0.0152957,22.2703,0.788449,0.63806,0.17718,0.00277187,0.000325592,195,39,-0.0100211,0,0
1,0.0600285,0.189922,0.0417116,0.178391,0.00924821,0.107667,0.00137657,27.7548,1.77997,0.209462,0.0107311,0.0578022,0.00111311,302,60.4,0.365236,0,0
2,0.0965376,0.218148,0.0645603,0.685206,0.0010811,0.0300167,0,42.8147,2.11727,1.37432,0.00113238,0,0.00026348,160,32,-1.26561,0,0
3,0.343559,3.83577,0,0,0.00157338,0.0140847,0.0158357,27.4261,1.41094,1.11398,0.2566,0.38876,0.00946376,373,74.6,-0.917035,0,0
4,0.29118,0.284007,0.149067,0.0033173,0.11379,0.00593273,0,40.253,2.21663,0.929114,0.10229,0.068892,0.0186832,142,28.4,-0.488677,0,0
5,0.0338659,4.82368,0,0.171427,0.00257385,0.00163156,0.0123025,42.1244,2.68063,2.0864,0.0492085,0,0.000335487,582,116.4,-0.480719,0,0
6,0.082086,8.09938,0.0101156,0.0265441,0.00371154,0.00996466,0.00119887,46.0664,3.57966,1.39418,0.00697516,0.00286171,0,434,86.8,0.209369,0,0
7,0.167262,2.70291,0.0101894,0.00159172,0.0194214,0.0992225,0.00295736,29.2971,1.20215,0.851909,0.00321729,0.506315,0.000489257,470,94,0.82695,2,1
8,0.0399187,1.86632,0,0.203566,0.141497,0.0756326,0.000691639,30.9515,3.03818,1.22079,0.562795,0,0.00668211,388,77.6,3.73874,0,0
9,0.0118736,0.492554,0.102756,0.00691111,0,0.00743771,0,14.7716,1.07741,0.4848,0.0879316,0.0937509,0,182,36.4,0.0846643,0,0
10,0.0600839,5.74168,0,0.21456,0.012458,0,0.0301696,20.4798,1.8163,0.858349,0.028187,0.163659,0.0028525,330,66,8.74055,6,1
11,0.677832,0.0634876,0.0203688,0.0388581,0.00143307,0.0478941,0.000142625,44.0396,2.81163,1.39961,0.00169223,0.00577317,0.0177392,267,53.4,-0.824819,0,0
12,0.22915,2.2868,0.0141489,0.0121137,0.0252639,0.00661253,0,42.0915,2.72292,1.58331,0.0253601,0,0.000534028,339,67.8,0.658005,0,0
13,0.0824163,0.573226,0.00485096,0.00123705,0,0.036053,0.0904274,17.1151,0.986316,0.604522,0.20107,0,0.0340567,123,24.6,0.93991,0,0
14,0.154676,1.44283,0.109531,0.502767,0.00873582,0.00816673,0,47.2083,1.57425,0.762767,0.0356603,0.00810508,0.0168397,205,41,0.101209,0,0
15,0.228304,0.251676,0,0.00875879,0.001312,0.00217361,0.0214705,40.7795,0.674414,0.481936,0.00208585,0.00203438,0.0121422,162,32.4,0.08594,0,0
16,0.173747,0.724609,0.0169189,0.00152189,0,0.320711,0.0019692,29.6047,2.92798,0.651962,0.0131217,0.959993,0.00165128,275,55,3.09074,0,0
17,0.0924945,0.243098,0.265264,0.627595,0.00123463,0.0924801,0.00894971,47.6722,3.10185,0.646144,0.00135679,0.155487,0.000808765,166,33.2,0.124797,0,0
18,0.0109525,0.212758,0.00211168,0.615415,0.0698052,0.0666917,0.0713636,18.1081,0.793878,0.426152,0.0174272,0.0324784,0,202,40.4,0.122159,0,0
19,0.125039,1.45098,0.0141013,0.422228,0.0163386,0.0864978,0.0388702,28.5274,0.732917,0.486934,0.754335,0.00331439,0,814,162.8,0.825926,0,0
20,0.011911,0.0439224,0,0.00209424,0.0864397,0.026211,0.00903122,14.813,0.56468,0.567781,0.00157517,0,0.0207881,200,40,0.0178388,0,0
21,0.0659416,0.0156639,0.101051,0,0,0.00106823,0.0135192,18.6259,0.739894,0.919432,0.232458,0,0.0627016,150,30,-0.725044,0,0
22,0.645359,0.463672,0.00155669,0.0159332,0.0770661,0.00204568,0,45.4392,2.63437,2.18751,0.0340977,0.0140715,0.00754914,331,66.2,3.59913,0,0
23,0.149144,1.15143,0.00196302,0,0.00224519,0.00353864,0.00415242,46.0918,1.20736,1.79753,0.124647,0.00335135,0,702,140.4,-0.852109,0,0
24,0.374817,0.253859,0,0.00974477,0.0698759,0,0,18.5519,1.64833,0.84611,0.0056915,0.00600725,0.036764,151,30.2,0.0709772,0,0
25,0.0480446,0.0106598,0.00906354,0,0.00354748,0.229826,0,43.838,2.32843,1.55806,0.00830494,0.0142755,0.000253979,510,102,-0.0842523,0,0
26,0.0853378,1.06946,0.00558901,0.00915179,0.00444634,0,0,19.871,1.23358,0.68454,0.00484879,0.00149421,0.00244488,574,114.8,0.375,0,0
27,0.134631,1.46063,0,0.00715408,0.093946,0.00287231,0,28.5184,1.83376,0.278925,0.128962,0.044686,0.0572605,356,71.2,0.618672,0,0
28,0.011383,0.71163,0.0021195,0.131086,0.170727,0.00905271,0.0177678,11.4695,0.374564,0.282622,0.175378,0.0264599,0,74,14.8,0.467747,0,0
29,0.0100352,0.102414,0.172381,0.00685731,0.0384957,0.0469667,0.00392471,40.338,2.21355,0.140079,0.0356098,0.0374201,0,138,27.6,0.163556,0,0
30,0.0468101,0.916331,0.00744278,0.0886818,0.209906,0,0.000455836,28.1642,0.79871,0.0177169,0.00735726,0.00892906,0,269,53.8,3.90463,0,0
31,0.0802255,0.0218191,0.0738341,0.00115336,0.141777,0.0033603,0.0242051,35.6408,2.76243,1.47671,0.248077,0.0361398,0.00653782,100,20,-1.12441,0,0
